	23B_Day7	23B_Month3	23B_Month6	23LL_Day3	23LL_Day7	23LL_Month1	23LL_Month10	23LL_Month3	23N_Day7	23N_Month3	23N_Month6	23R_Day7	23R_Month3	23R_Month6	24B_Day7	24L_Day7	24N_Day7	25L_Day7	25N_Day3	25N_Day7	25N_Month1	25N_Month10	25N_Month3	25N_Month6	25R_Day7	25R_Month6	26B_Day7	26B_Month3	26B_Month6	26L_Day7	26L_Month3	26L_Month6	26N_Day7	26N_Month3	27L_Day7	27L_Month3	27L_Month6	27N_Day7	27N_Month3	27N_Month6	27R_Day7	27R_Month3	27R_Month6	28B_Day7	28B_Month3	28LL_Day7	28LL_Month3	28L_Day3	28L_Day7	28L_Month1	28L_Month10	28L_Month6	28N_Day3	28N_Day7	28N_Month1	28N_Month3	28N_Month6	28R_Day7	28R_Month3	28R_Month6	29B_Day7	29LL_Day7	29LL_Month3	29LL_Month6	29L_Day7	29N_Day7	29N_Month3	29R_Day7	29R_Month3	30N_Day7
group_134	0	2	0	2	1	1	1	1	0	2	0	1	0	1	0	2	2	0	2	1	0	0	1	1	0	0	0	1	1	0	2	0	3	1	1	0	2	2	1	0	3	4	0	1	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	0	1	0	1	0	2	0	0	1	0	0
tycC	2	0	0	1	0	0	1	0	0	0	1	2	0	0	3	2	1	1	2	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	3	2	0	0	1	0	0	0	4	0	2	3	0	2	0	0	0	0	1	0	0	1	5	0	0	2	0	0	0	0	0
group_15	1	0	0	1	1	0	0	0	0	0	0	1	0	0	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	6	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	2	0	0	1	5	0	0	1	0	0	0	1	0
yeeR	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	1	0	1	0	1	0	4	1	0	1	0	1	0	2	0	0	2	0	1	0	2	0	0	2	0	0	0	1	0
group_84	1	0	0	1	0	0	0	0	0	0	1	2	0	0	2	1	1	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	0	0	1	0	0	0	3	0	2	3	0	2	0	0	0	0	1	0	0	1	5	0	0	1	0	0	0	0	0
group_133	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	1	0	1	0	1	0	4	1	0	1	0	1	0	2	0	0	2	0	1	0	1	0	0	1	0	0	0	1	0
era_4	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	1	3	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	3	1	3	0	0	1	1	1	0	1	0	0	1	0
flu_1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	4	0	0	1	0	1	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0
yeeT_3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	1	0	1	0	3	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
yafX_3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	3	1	1	0	0	0	0	2	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0
yfjQ_3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	2	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0
yfjT	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
group_124	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
group_126	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
group_127	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
ykfF_1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
group_135	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	6	0	1	0	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
yeeS_4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	3	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
group_125	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0
group_132	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0
group_23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	3	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0
group_140	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	1	0
era_2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
